SampleDate;Copenhagen;Aarhus;Gentofte;Rudersdal
26-02-2020;0;0;0;0
27-02-2020;1;0;0;0
28-02-2020;0;1;0;0
01-03-2020;1;0;0;0
02-03-2020;1;0;0;0
03-03-2020;4;0;0;0
04-03-2020;1;0;1;0
05-03-2020;2;0;0;1
06-03-2020;0;0;0;0
07-03-2020;1;1;0;3
08-03-2020;3;15;1;2
09-03-2020;23;25;5;2
10-03-2020;50;37;13;6
11-03-2020;29;12;11;7
12-03-2020;6;5;2;2
13-03-2020;9;3;2;2
14-03-2020;3;2;2;0
15-03-2020;10;0;1;1
16-03-2020;23;0;2;1
17-03-2020;21;3;2;1
18-03-2020;20;4;4;2
19-03-2020;20;7;4;0
20-03-2020;22;1;4;1
21-03-2020;6;0;2;1
22-03-2020;14;3;4;0
23-03-2020;28;6;9;1
24-03-2020;29;3;5;1
25-03-2020;26;1;1;2
26-03-2020;26;8;5;2
27-03-2020;49;5;6;2
28-03-2020;53;2;1;1
29-03-2020;40;1;4;1
30-03-2020;48;11;8;5
31-03-2020;48;6;6;1
01-04-2020;44;14;6;8
02-04-2020;60;16;5;6
03-04-2020;96;19;7;2
04-04-2020;93;2;4;3
05-04-2020;43;4;0;2
06-04-2020;97;20;10;3
07-04-2020;61;12;2;4
08-04-2020;65;13;3;1
09-04-2020;29;5;5;0
10-04-2020;27;1;2;2
11-04-2020;25;3;2;0
12-04-2020;27;3;2;0
13-04-2020;32;9;4;2
14-04-2020;35;3;5;4
15-04-2020;36;2;16;2
16-04-2020;34;6;1;1
17-04-2020;28;4;2;3
18-04-2020;27;2;1;4
19-04-2020;23;2;2;3
20-04-2020;44;1;0;1
21-04-2020;39;1;4;2
22-04-2020;46;1;3;5
23-04-2020;35;4;8;8
24-04-2020;41;6;3;1
25-04-2020;30;3;1;4
26-04-2020;30;2;0;1
27-04-2020;44;2;5;5
28-04-2020;33;4;1;2
29-04-2020;23;6;2;0
30-04-2020;36;5;2;3
01-05-2020;27;5;3;0
02-05-2020;16;6;0;3
03-05-2020;21;5;3;0
04-05-2020;24;1;1;4
05-05-2020;26;1;2;0
06-05-2020;30;3;1;3
07-05-2020;20;3;3;0
08-05-2020;13;2;1;5
